Codigo de materia;Descripcion;Correlativas
0901;INGLES NIVEL I;
0902;INGLES NIVEL II; 0901
0903;INGLES NIVEL III; 0902
0904;INGLES NIVEL IV; 0903
0911;COMPUTACION NIVEL I;
0912;COMPUTACION NIVEL II; 0911
1023;ANALISIS MATEMATICO I;
1024;ELEMENTOS DE PROGRAMACION;
1025;SIST DE REPRESENTACION Y DIBUJO TECNICO;
1026;TECNOLOGIA INGENIERIA Y SOCIEDAD;
1027;ALGEBRA Y GEOMETRIA ANALITICA I;
1028;MATEMATICA DISCRETA;
1029;QUIMICA GENERAL;
1030;FUNDAMENTOS DE TIC'S;
1031;FISICA I; 1023
1032;ALGEBRA Y GEOMETRIA ANALITICA II; 1027
1033;ANALISIS MATEMATICO II; 1023
1035;FISICA II; 1031
1108;REQUERIMIENTOS PARA LA INGENIERIA; 1030
1109;ARQUITECTURA DE COMPUTADORAS; 1028 1030
1110;PROGRAMACION; 1024 1028
1111;PROBABILIDAD Y ESTADISTICA; 1033
1112;AUDITORIA Y SEGURIDAD INFORMATICA; 1026 1109
1113;PROGRAMACION AVANZADA; 1023 1110
1114;BASE DE DATOS; 1028 1033
1115;SISTEMAS OPERATIVOS; 1109 1110
1116;ANALISIS DE SISTEMAS; 1028 1108
1117;CALCULO NUMERICO; 1032 1033
1118;INGENIERIA DE REQUERIMIENTOS; 1116
1119;COMUNICACION DE DATOS; 1109 1115
1120;DISEÑO DE SISTEMAS; 1116
1121;ANALISIS DE SOFTWARE; 1113
1122;REDES DE COMPUTADORAS; 1031 1119
1123;SISTEMAS OPERATIVOS AVANZADOS; 1113 1115
1124;LENGUAJES Y COMPILADORES; 1110 1115
1125;GESTION ORGANIZACIONAL; 1026 1116
1126;INGENIERIA DE SOFTWARE; 1025 1029 1032 1035 1109 1111 1115 1117 1120
1127;ELEMENTOS DE INTELIGENCIA ARTIFICIAL; 1029 1032 1035 1111 1123
1128;ELECTIVA I;
1129;AUTOMATAS Y LENGUAJES FORMALES; 1025 1029 1032 1035 1111 1117 1122
1130;ELECTIVA II;
1131;ELECTIVA III;
1132;PROYECTO DE FIN DE CARRERA; 1023 1024 1025 1026 1027 1028 1029 1030 1031 1032 1033 1035 1108 1109 1110 1111 1112 1113 1114 1115 1116 1117 1118 1119 1120 1121 1122 1123 1124 1125
1133;PRACTICA PROFESIONAL SUPERVISADA; 1113 1116
1187;TECNICAS AVANZADAS EN BASES DE DATOS; 1025 1029 1032 1035 1111 1115 1117 1122
1189;SISTEMAS DE TRANSMISION Y CONMUTACION; 1025 1029 1032 1035 1111 1115 1117 1122
1190;LAB.DE TELEINFORMATICA(Electiva I-II - III); 1025 1029 1032 1035 1111 1115 1117 1122
1191;SEGURIDAD EN REDES(Electiva I - II - III); 1025 1029 1032 1035 1111 1115 1117 1122
1192;LENGUAJES DESCRIPTIVOS DE HARDWARE; 1025 1029 1032 1035 1111 1115 1117 1122
1193;PROCESO SOFTWARE(Electiva I-II - III); 1025 1029 1032 1035 1111 1115 1117 1122
1194;DATA MINING Y DATA WAREHOUSE(Electiva I - II - III); 1025 1029 1032 1035 1111 1115 1117 1122
1195;PROGRAMACION PAGINAS WEB; 1025 1029 1032 1035 1111 1115 1117 1122
1196;GEST.DE PROY. INFORMATICOS(Electiva I - II - III); 1025 1029 1032 1035 1111 1115 1117 1122
1223;CRIPTOGRAFIA(Electiva I - II - III); 1025 1029 1032 1035 1111 1115 1117 1122
1224;FUND.DE E-COMMERCE(Electiva I - II - III); 1025 1029 1032 1035 1111 1115 1117 1122
225;GESTION DE RR HH EN PROY.IT(Electiva I - II - III); 1025 1029 1032 1035 1111 1115 1117 1122
