Código ; Descripción ; Cod. Comisión ; Turno ; Días ; Detalle 
901;INGLES NIVEL I;1300;M ;Lu08a12 ;DETALLE 
;;2300;M ;Ma08a12 ;DETALLE 
;;3300;M ;Mi08a12 ;DETALLE 
;;4300;M ;Ju08a12 ;DETALLE 
;;5300;M ;Vi08a12 ;DETALLE 
;;6300;M ;Sa08a12 ;DETALLE 
;;1900;N ;Lu19a23 ;DETALLE 
;;2900;N ;Ma19a23 ;DETALLE 
;;3900;N ;Mi19a23 ;DETALLE 
;;4900;N ;Ju19a23 ;DETALLE 
;;5900;N ;Vi19a23 ;DETALLE 
;;1600;T ;Lu14a18 ;DETALLE 
;;2600;T ;Ma14a18 ;DETALLE 
;;3600;T ;Mi14a18 ;DETALLE 
;;4600;T ;Ju14a18 ;DETALLE 
;;5600;T ;Vi14a18 ;DETALLE 
;;7173;T ;LuMi12a14 ;DETALLE 
;;7174;T ;LuJu12a14 ;DETALLE 
;;7274;T ;MaJu12a14 ;DETALLE 
;;7275;T ;MaVi12a14 ;DETALLE 
;;7375;T ;MiVi12a14 ;DETALLE 
;;7666;T ;Sa13a17 ;DETALLE 
902;INGLES NIVEL II;1300;M ;Lu08a12 ;DETALLE 
;;2300;M ;Ma08a12 ;DETALLE 
;;3300;M ;Mi08a12 ;DETALLE 
;;4300;M ;Ju08a12 ;DETALLE 
;;5300;M ;Vi08a12 ;DETALLE 
;;6300;M ;Sa08a12 ;DETALLE 
;;1900;N ;Lu19a23 ;DETALLE 
;;2900;N ;Ma19a23 ;DETALLE 
;;3900;N ;Mi19a23 ;DETALLE 
;;4900;N ;Ju19a23 ;DETALLE 
;;5900;N ;Vi19a23 ;DETALLE 
;;1600;T ;Lu14a18 ;DETALLE 
;;2600;T ;Ma14a18 ;DETALLE 
;;3600;T ;Mi14a18 ;DETALLE 
;;4600;T ;Ju14a18 ;DETALLE 
;;5600;T ;Vi14a18 ;DETALLE 
;;7174;T ;LuJu12a14 ;DETALLE 
;;7274;T ;MaJu12a14 ;DETALLE 
;;7275;T ;MaVi12a14 ;DETALLE 
;;7375;T ;MiVi12a14 ;DETALLE 
;;7666;T ;Sa13a17 ;DETALLE 
903;INGLES NIVEL III;1300;M ;Lu08a12 ;DETALLE 
;;2300;M ;Ma08a12 ;DETALLE 
;;3300;M ;Mi08a12 ;DETALLE 
;;4300;M ;Ju08a12 ;DETALLE 
;;5300;M ;Vi08a12 ;DETALLE 
;;6300;M ;Sa08a12 ;DETALLE 
;;1900;N ;Lu19a23 ;DETALLE 
;;2900;N ;Ma19a23 ;DETALLE 
;;3900;N ;Mi19a23 ;DETALLE 
;;4900;N ;Ju19a23 ;DETALLE 
;;5900;N ;Vi19a23 ;DETALLE 
;;1600;T ;Lu14a18 ;DETALLE 
;;2600;T ;Ma14a18 ;DETALLE 
;;3600;T ;Mi14a18 ;DETALLE 
;;4600;T ;Ju14a18 ;DETALLE 
;;5600;T ;Vi14a18 ;DETALLE 
;;7174;T ;LuJu12a14 ;DETALLE 
;;7375;T ;MiVi12a14 ;DETALLE 
;;7666;T ;Sa13a17 ;DETALLE 
904;INGLES NIVEL IV;1300;M ;Lu08a12 ;DETALLE 
;;2300;M ;Ma08a12 ;DETALLE 
;;3300;M ;Mi08a12 ;DETALLE 
;;4300;M ;Ju08a12 ;DETALLE 
;;5300;M ;Vi08a12 ;DETALLE 
;;6300;M ;Sa08a12 ;DETALLE 
;;1900;N ;Lu19a23 ;DETALLE 
;;2900;N ;Ma19a23 ;DETALLE 
;;3900;N ;Mi19a23 ;DETALLE 
;;4900;N ;Ju19a23 ;DETALLE 
;;5900;N ;Vi19a23 ;DETALLE 
;;1600;T ;Lu14a18 ;DETALLE 
;;2600;T ;Ma14a18 ;DETALLE 
;;3600;T ;Mi14a18 ;DETALLE 
;;4600;T ;Ju14a18 ;DETALLE 
;;5600;T ;Vi14a18 ;DETALLE 
;;7273;T ;MaMi12a14 ;DETALLE 
;;7274;T ;MaJu12a14 ;DETALLE 
;;7666;T ;Sa13a17 ;DETALLE 
911;COMPUTACION NIVEL I;1300;M ;Lu08a12 ;DETALLE 
;;2300;M ;Ma08a12 ;DETALLE 
;;3300;M ;Mi08a12 ;DETALLE 
;;4300;M ;Ju08a12 ;DETALLE 
;;5300;M ;Vi08a12 ;DETALLE 
;;6300;M ;Sa08a12 ;DETALLE 
;;1900;N ;Lu19a23 ;DETALLE 
;;2900;N ;Ma19a23 ;DETALLE 
;;3900;N ;Mi19a23 ;DETALLE 
;;4900;N ;Ju19a23 ;DETALLE 
;;5900;N ;Vi19a23 ;DETALLE 
;;6900;N ;A distancia ;DETALLE 
;;1600;T ;Lu14a18 ;DETALLE 
;;2600;T ;Ma14a18 ;DETALLE 
;;3600;T ;Mi14a18 ;DETALLE 
;;4600;T ;Ju14a18 ;DETALLE 
;;5600;T ;Vi14a18 ;DETALLE 
;;7174;T ;LuJu12a14 ;DETALLE 
;;7275;T ;MaVi12a14 ;DETALLE 
912;COMPUTACION NIVEL II;1300;M ;Lu08a12 ;DETALLE 
;;2300;M ;Ma08a12 ;DETALLE 
;;3300;M ;Mi08a12 ;DETALLE 
;;4300;M ;Ju08a12 ;DETALLE 
;;5300;M ;Vi08a12 ;DETALLE 
;;6300;M ;Sa08a12 ;DETALLE 
;;1900;N ;Lu19a23 ;DETALLE 
;;2900;N ;Ma19a23 ;DETALLE 
;;3900;N ;Mi19a23 ;DETALLE 
;;4900;N ;Ju19a23 ;DETALLE 
;;5900;N ;Vi19a23 ;DETALLE 
;;6900;N ;A distancia ;DETALLE 
;;1600;T ;Lu14a18 ;DETALLE 
;;2600;T ;Ma14a18 ;DETALLE 
;;3600;T ;Mi14a18 ;DETALLE 
;;4600;T ;Ju14a18 ;DETALLE 
;;5600;T ;Vi14a18 ;DETALLE 
;;7174;T ;LuJu12a14 ;DETALLE 
;;7275;T ;MaVi12a14 ;DETALLE 
1023;ANALISIS MATEMATICO I;1333;M ;LuMi08a12 ;DETALLE 
;;1343;M ;LuJu08a12 ;DETALLE 
;;2343;M ;MaJu08a12 ;DETALLE 
;;2353;M ;MaVi08a12 ;DETALLE 
;;1949;N ;LuJu19a23 ;DETALLE 
;;2949;N ;MaJu19a23 ;DETALLE 
;;2966;N ;Ma19a23Sa14a18 ;DETALLE 
;;1636;T ;LuMi14a18 ;DETALLE 
